SA3_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
20504,26892,65139,1649,2234,150,290,1802,2524,1696,2350,0,0,0,0,0,0,4,12,1703,2353,36,46,64,105,14,24,8,23,124,196,38,67,30560,70285,2949,..,33509,70285
20505,16048,38253,519,818,95,132,617,950,624,822,25,49,0,0,0,6,7,20,661,895,57,78,52,82,5,13,31,60,142,226,32,66,17492,40394,4651,..,22146,40394
20601,17522,47296,4045,8229,5029,11404,9078,19635,3518,5683,1484,2444,4952,7844,1131,1756,22,53,11107,17774,0,0,0,0,0,0,226,528,226,528,42,88,37979,85323,4735,..,42713,85323
20602,11048,30276,2535,5604,2936,6215,5471,11815,3188,4663,739,1128,1214,1964,105,119,12,23,5260,7898,0,0,0,0,0,0,128,269,128,269,14,35,21919,50292,2374,..,24295,50292
20603,11991,34118,2282,5004,3107,7251,5384,12250,3396,5927,2695,4256,3535,5644,1079,2085,11,14,10709,17924,0,0,0,0,0,0,89,183,89,183,25,53,28208,64532,3908,..,32114,64532
20604,1575,4056,2346,5055,5745,13900,8090,18960,1876,3401,4357,7500,9622,16521,44847,78445,9,14,60713,105874,0,0,5,0,0,0,131,261,132,259,237,406,70753,129557,26072,..,96828,129557
20605,4245,11599,5999,13894,5412,13135,11412,27030,6525,10812,11198,17732,6072,9767,8602,14422,43,94,32446,52824,0,0,5,3,0,6,561,912,565,922,80,133,48743,92502,11063,..,59807,92502
20606,5176,13409,2769,5842,2802,6210,5565,12051,3175,5518,6837,10676,5072,7817,4790,7408,3,14,19874,31435,0,0,0,0,0,0,69,126,69,126,45,75,30727,57103,7189,..,37916,57103
20607,5253,13656,8698,19587,6578,15665,15279,35254,3191,5251,4532,7349,6846,11145,5470,9992,31,60,20073,33802,0,0,0,0,0,0,345,727,353,732,48,91,41005,83529,7186,..,48191,83529
20701,34771,103222,7738,16545,4763,12163,12501,28713,5346,9470,4894,8197,4271,7128,636,1003,18,40,15162,25842,0,0,0,0,0,0,218,436,218,436,74,138,62715,158345,8147,..,70862,158345
