SA3_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
70102,27,13,78,121,212,264,392,301,104,1504,0,11,45,55,70,90,112,69,25,467,241,255,795,724,618,461,349,185,59,3676,1356,3135,9319,8551,7062,5777,4124,1762,397,41494
70103,12,14,52,57,70,100,136,80,19,531,7,13,14,12,24,18,24,10,0,112,108,121,285,323,389,326,253,85,12,1912,641,1360,2813,3017,3387,2875,1794,583,97,16565
70104,12,8,32,75,83,136,148,93,34,633,0,4,12,20,34,29,34,15,7,155,178,252,696,584,445,297,188,87,35,2758,1050,2508,6863,6075,4591,3075,1673,556,159,26552
70201,175,154,372,428,403,324,318,122,41,2337,12,27,72,98,107,147,139,71,40,704,182,219,702,486,456,409,228,93,34,2810,1261,2254,6930,5614,4588,3971,2121,730,200,27665
70202,27,22,77,79,81,80,71,21,5,472,0,0,3,5,18,16,25,13,3,82,29,35,110,71,79,71,44,10,0,450,260,403,989,698,615,553,301,81,14,3901
70203,76,80,102,102,127,112,114,34,0,758,21,24,28,27,28,36,27,15,3,197,97,118,295,260,276,230,175,66,6,1528,870,1204,2658,2136,2024,1637,986,264,31,11799
70204,127,116,205,186,167,124,69,18,3,1012,26,19,25,39,37,21,15,6,3,189,111,110,291,273,169,148,50,7,0,1169,762,1043,2210,2100,1534,1067,397,90,15,9220
70205,85,87,144,106,133,162,140,69,15,942,8,14,26,30,41,44,92,36,15,301,185,247,499,389,355,311,181,65,16,2253,941,1618,3450,2565,2191,1763,996,335,64,13917
79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,5,3,0,0,0,23,4,6,23,22,19,17,0,0,0,94
79999,4,8,20,28,27,27,14,3,0,132,0,3,0,0,4,3,4,0,0,28,37,79,223,220,278,226,100,14,0,1181,73,183,661,573,591,575,318,49,7,3031
80101,18,20,76,109,124,245,445,483,259,1775,5,17,95,57,77,88,64,90,47,534,164,358,839,545,421,346,354,283,161,3487,2499,8035,18418,15966,12550,10024,9237,5068,1669,83474
80103,0,5,9,11,7,6,18,10,3,66,0,0,3,4,0,3,0,0,0,11,18,41,94,89,71,77,42,19,0,460,60,171,383,312,281,269,176,85,16,1753
80104,16,10,74,101,121,152,249,203,70,993,0,17,100,73,68,82,69,46,11,461,141,237,706,528,329,189,168,94,20,2401,1871,5751,16275,16470,11134,6499,4131,1797,374,64314
80105,10,5,24,39,46,67,112,175,140,618,3,5,34,21,28,27,27,22,23,189,500,799,750,404,227,213,196,165,136,3402,3316,8832,13269,8283,6527,5287,3767,2076,1069,52439
80106,5,3,12,15,18,38,66,67,74,306,0,3,7,9,12,4,10,18,9,66,58,124,376,239,243,208,221,141,116,1728,535,1835,5403,4414,4238,3874,3241,1758,842,26134
80107,15,27,76,69,98,242,446,393,218,1585,5,5,22,31,56,46,51,56,35,313,141,147,420,410,325,274,347,267,149,2485,2062,5250,12182,12205,11720,11728,8850,3807,1281,69081
80108,6,3,6,17,27,35,99,147,81,427,0,0,5,8,5,6,8,26,14,79,37,49,121,129,90,97,146,171,124,960,480,1143,2632,3457,3451,2587,2559,1898,683,18890
80109,6,0,16,29,31,44,96,202,139,559,0,6,18,18,21,22,22,33,22,156,49,94,266,172,189,146,166,182,114,1396,702,2327,6009,5539,5026,4363,3306,2736,1221,31230
80110,5,0,8,3,9,14,6,8,4,55,3,0,3,6,0,8,3,0,0,28,11,28,126,59,33,21,24,9,0,313,196,752,2938,2511,1086,587,312,84,22,8483
80111,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,5,4,4,10,11,3,0,0,38,18,39,90,102,85,75,40,11,4,453
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,17,35,25,22,18,5,0,130,34,81,108,104,77,78,34,10,4,530
90101,0,0,0,4,10,22,48,10,3,98,0,0,0,0,6,0,14,14,0,34,3,28,158,95,75,37,29,4,0,438,22,73,319,271,261,209,178,32,4,1363
90102,0,0,6,0,0,5,3,0,0,14,0,0,0,0,0,25,32,20,11,86,5,8,17,16,14,22,15,5,0,99,9,36,64,83,54,113,61,33,11,449
90103,0,0,0,0,3,0,5,3,0,14,0,0,0,0,0,0,0,0,0,0,4,3,12,12,11,8,14,9,0,80,15,21,32,35,47,37,27,16,0,236
90104,0,0,0,0,3,3,9,6,0,26,0,0,0,0,0,3,0,0,0,4,10,10,24,33,42,55,30,29,7,238,43,81,154,250,297,409,319,174,50,1779
99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
