SED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED10066,36,2100,858,385,2154,0.8,1738,2.5
SED10067,46,3098,1046,650,2942,0.9,2411,2.6
SED10068,50,1733,640,380,1552,0.7,1236,2.3
SED10069,48,1733,658,360,1646,0.7,1338,2.4
SED10070,38,2180,690,430,2051,0.9,1855,3
SED10071,34,2600,1059,530,2786,0.9,2698,3.2
SED10072,36,2400,868,500,2231,1,1948,2.5
SED10073,36,2500,908,450,2390,1,2019,2.5
SED10074,37,2300,872,420,2361,0.9,2089,2.8
SED10075,40,2037,711,405,1937,0.8,1580,2.6
SED10076,49,1682,612,350,1467,0.7,1195,2.3
SED10077,34,2383,825,470,2244,1.1,2020,2.7
SED10078,37,2600,1045,450,2670,1,2106,2.3
SED10079,46,1860,682,370,1778,0.8,1381,2.4
SED10080,35,3000,1297,580,3273,1.1,2278,1.9
SED10081,39,1500,750,300,1824,0.7,1416,2.4
SED10082,45,2200,803,460,2286,0.8,1847,2.6
SED10083,42,2000,732,390,1967,0.8,1519,2.5
SED10084,47,1950,672,420,1707,0.8,1317,2.4
SED10085,41,1733,737,300,1959,0.8,1550,2.5
SED10086,37,3500,1517,680,3973,0.9,3045,2.3
SED10087,37,1512,807,290,1996,0.7,1564,2.5
SED10088,40,3000,1005,580,2859,1,2403,2.7
SED10089,36,1850,754,380,2079,0.8,1644,2.5
SED10090,39,3310,1223,590,3389,1,2598,2.5
SED10091,41,2232,844,430,2254,0.8,1956,2.7
SED10092,38,2000,704,380,1921,0.8,1450,2.3
SED10093,39,1928,697,390,1838,0.8,1475,2.6
SED19494,0,0,0,0,0,0,0,0
SED19797,56,0,1649,0,0,0,0,0
SED20106,37,2167,1261,430,2961,1,2076,1.9
SED20207,35,2002,895,387,2336,0.8,2123,2.9
SED20302,36,1907,758,356,1903,0.8,1604,2.7
SED20401,39,1950,818,376,2126,0.8,1738,2.5
SED20508,48,1733,754,380,1973,0.7,1535,2.4
SED20604,42,1452,782,280,1910,0.7,1471,2.4
SED20704,39,1495,771,300,1955,0.7,1557,2.5
