SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED27406,607,373,370,445,604,472,384,265,189,3709,10704,7190,6262,8091,10046,8565,6919,4195,1942,63914
SED27504,1595,958,953,904,904,887,668,486,197,7552,14327,8656,9540,8762,9151,9370,8048,4806,1928,74588
SED27608,1168,942,798,766,737,582,577,288,177,6035,18599,11945,13138,13213,11110,9370,8322,4700,2053,92450
SED27708,1126,710,597,719,728,691,654,405,220,5850,11497,7002,7420,7558,8534,9277,8449,4345,1819,65901
SED27807,1383,946,1375,1094,890,818,573,424,302,7805,12210,9289,13150,10067,8773,8610,7350,4148,1791,75388
SED27907,910,577,752,621,622,542,340,220,105,4689,12148,7564,9905,9129,8596,8004,6482,3374,1114,66316
SED28007,1088,760,733,739,694,574,299,119,40,5046,16047,11519,10639,11686,11947,9396,5625,2451,806,80116
SED28107,2933,1509,2373,2167,1077,679,375,131,47,11291,35288,15873,25679,27005,12774,9270,5707,2185,521,134302
SED28203,1340,739,1033,901,721,559,426,256,107,6082,17191,9307,13777,13582,8881,7338,6607,4260,1573,82516
SED28301,536,439,281,371,472,400,339,249,117,3204,11197,8092,5722,8024,9172,8477,6501,4335,1769,63289
SED28408,988,646,639,538,608,543,433,281,173,4849,11298,7786,8380,7534,7706,7580,6765,3994,1815,62858
SED28507,1854,938,1297,1092,852,605,417,266,196,7517,20533,10832,15945,15139,10066,8420,5962,2891,1111,90899
SED28607,925,485,767,769,658,502,329,217,106,4758,14455,7016,10708,12528,11011,8301,5380,3247,1663,74309
SED28704,1769,883,925,1040,868,689,433,212,66,6885,24682,12340,14745,16900,13257,9787,6868,2994,834,102407
SED28803,2503,1258,1600,1519,1076,788,411,173,76,9404,32948,17276,23009,22253,14727,11578,6514,2486,674,131465
SED29494,501,403,707,880,652,410,198,23,9,3783,1143,1131,1819,1736,1393,1074,613,152,29,9090
SED29797,0,0,0,11,3,9,0,0,0,23,0,0,6,16,3,14,4,0,0,43
SED30001,968,591,701,628,508,371,232,145,102,4246,13817,7591,10047,10169,7598,6344,4407,1897,679,62549
SED30002,613,383,385,386,399,327,259,206,198,3156,10176,6491,6532,7828,7193,6194,5053,3429,1778,54674
SED30003,1069,637,614,580,539,384,286,207,157,4473,12852,7752,7400,8290,7986,5931,4978,3068,1086,59343
SED30004,909,555,608,741,812,731,457,219,56,5088,10761,6061,6104,7910,8696,8004,5844,2572,704,56656
SED30005,682,774,814,671,703,616,456,351,166,5233,7714,7470,8558,7071,7289,7158,6113,3710,1386,56469
SED30006,609,424,383,434,637,557,581,336,121,4082,6603,4727,4008,5244,7062,7456,7825,4944,1538,49407
SED30007,779,693,563,511,516,369,326,245,230,4232,10464,7672,6510,7050,7447,6019,5289,3653,1643,55747
SED30008,561,462,655,532,485,377,232,131,128,3563,10657,7086,9584,9746,8317,5897,3688,1786,908,57669
SED30009,905,577,604,489,534,495,428,365,198,4595,8884,5955,6102,5373,5711,6162,6002,4535,1820,50544
SED30010,2084,1041,1195,969,727,490,277,147,45,6975,18637,9983,12329,10015,7662,6210,4181,1927,556,71500
SED30011,1352,1257,1905,1445,1420,1165,566,323,95,9528,10560,6136,8201,7381,7558,7370,5238,2618,887,55949
SED30012,732,484,748,661,574,469,382,254,164,4468,8487,5314,7338,7192,6771,5794,5244,2972,1214,50326
SED30013,861,440,424,525,742,852,705,301,79,4929,7614,4330,4095,4967,6783,8783,8557,4089,878,50096
