LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA13340,1309,2589,35,221,139,722,38,180,600,2519,813,3633,52,230,87,272,236,755,378,1251,1190,4883,4,32,26,99,11,48,153,423,202,603,12,39,40,92,138,300,197,437,395,1037,18,40,2913,8557
LGA13450,2665,5360,82,472,285,1347,101,502,1666,6587,2134,8907,164,693,175,585,673,2257,1017,3537,3150,12442,18,100,71,247,42,151,417,1226,545,1719,43,132,55,121,401,895,495,1147,1041,2871,112,246,6964,20925
LGA13550,1306,2611,26,132,127,590,41,191,826,3352,1019,4266,39,172,71,230,238,735,353,1142,1371,5403,3,19,40,140,18,76,291,840,360,1069,6,27,19,41,195,417,214,480,573,1552,66,144,3323,9710
LGA13660,653,1301,7,43,45,216,7,47,242,997,311,1304,15,54,24,61,87,271,125,391,432,1697,0,3,17,53,7,29,67,201,88,278,4,10,15,31,85,185,105,228,200,511,19,28,1304,3533
LGA13800,6724,13621,160,932,731,3443,366,1728,4246,16933,5495,23033,566,2471,545,1872,2024,6768,3140,11113,8635,34148,50,223,182,601,102,366,1012,2712,1344,3904,117,386,239,541,1199,2656,1560,3579,2903,7477,188,398,18453,55651
LGA13850,355,705,3,14,21,88,10,22,138,529,163,662,16,56,16,50,55,164,86,274,249,935,3,9,8,20,4,16,48,124,53,165,5,17,6,17,58,114,71,143,124,305,10,20,742,1964
LGA13910,2294,4556,53,302,184,872,75,336,999,4079,1305,5595,72,294,119,358,353,1099,535,1755,1843,7353,13,66,55,201,36,131,344,994,455,1396,32,92,63,130,276,590,361,812,821,2205,73,159,5032,14276
LGA14000,14013,28224,232,1267,2558,11586,275,1216,12016,46330,15076,60404,1437,6145,2824,10041,4096,13384,8358,29569,23434,89973,43,173,351,1142,85,297,1394,3524,1873,5133,274,875,723,1679,1976,4351,2973,6896,4841,12029,424,900,42716,131126
LGA14100,1318,2623,32,165,242,1121,18,91,819,3252,1111,4624,140,594,267,984,282,899,689,2476,1800,7101,6,25,33,112,3,9,110,267,153,413,18,61,74,170,140,297,229,530,383,944,39,80,3540,10748
LGA14170,20331,40737,116,637,1644,7227,164,716,11950,44046,13874,52630,707,2983,1996,6869,2611,8450,5319,18298,19189,70923,31,137,392,1193,100,345,2107,4809,2633,6485,247,792,933,2050,2587,5666,3759,8515,6391,15006,981,2048,46892,128723
LGA14220,2075,4155,31,173,166,746,55,250,848,3374,1098,4540,62,235,102,327,313,957,477,1525,1574,6064,12,43,60,241,42,171,411,1180,525,1636,24,84,44,97,289,627,355,804,880,2437,81,165,4607,12823
LGA14300,655,1303,15,92,58,257,22,91,295,1184,386,1636,14,64,29,102,130,409,172,573,564,2201,0,5,12,47,14,39,117,343,150,438,7,20,15,32,73,161,100,215,247,654,22,42,1485,4203
LGA14350,3705,7458,60,330,203,973,119,601,1210,4806,1585,6707,93,392,128,430,597,1897,824,2719,2405,9428,28,151,96,373,91,345,675,1993,891,2856,58,172,113,256,630,1394,799,1826,1686,4681,152,327,7952,21901
LGA14400,3255,6493,40,198,242,1136,78,339,1350,5366,1711,7039,151,627,256,868,527,1663,926,3154,2635,10195,9,38,55,170,22,63,232,604,315,871,27,81,76,159,290,617,389,854,703,1727,68,147,6662,18552
LGA14500,11493,23013,137,762,2445,11011,165,701,9787,37805,12535,50284,1231,5289,3045,10869,2805,9000,7083,25154,19610,75438,25,104,369,1194,46,134,1179,2968,1617,4398,214,692,813,1852,1266,2744,2299,5285,3914,9688,304,641,35318,108773
LGA14550,1256,2485,20,104,64,323,33,156,359,1449,474,2034,27,102,60,182,161,505,242,789,719,2824,11,46,35,123,13,49,174,510,233,731,5,18,27,61,198,413,227,493,459,1217,36,78,2472,6609
LGA14600,637,1270,10,48,55,228,16,58,374,1487,448,1823,12,62,36,111,94,300,141,466,593,2291,4,18,15,40,9,40,104,326,129,425,0,10,18,38,85,196,109,246,239,665,30,72,1502,4300
LGA14650,24349,48896,415,2308,2179,9975,807,3614,12880,50197,16284,66088,1299,5435,1830,6202,5204,16691,8325,28333,24611,94416,122,582,671,2289,459,1638,3904,10383,5157,14891,411,1279,878,1934,4085,8947,5371,12166,10523,27055,769,1604,60257,171971
LGA14700,4352,8713,32,170,537,2402,31,130,3150,11758,3746,14462,228,970,606,2174,562,1793,1391,4941,5142,19402,11,31,80,231,14,42,470,1077,566,1387,51,162,186,402,397,850,629,1411,1198,2797,136,281,10827,31196
LGA14750,1167,2339,20,125,114,556,51,236,597,2419,787,3332,52,221,71,213,221,701,343,1138,1122,4470,5,28,28,101,25,92,230,649,288,873,20,54,21,50,160,346,205,449,488,1317,39,85,2819,8214
LGA14850,4668,9335,85,456,393,1862,149,719,2146,8484,2771,11519,152,629,295,980,891,2843,1342,4452,4109,15973,36,162,165,542,108,384,935,2420,1235,3515,82,278,239,492,909,1999,1233,2771,2472,6288,184,374,11434,31973
LGA14870,2382,4765,45,260,176,808,80,369,926,3717,1235,5150,78,318,132,414,451,1442,659,2174,1890,7321,16,84,66,225,49,180,382,1078,506,1563,30,91,62,139,432,936,524,1163,1037,2728,85,175,5397,14990
LGA14900,14346,29357,987,6032,3578,17676,992,4977,15934,64710,21489,93401,2275,10295,2453,8944,6952,24151,11683,43385,33171,136783,258,1296,796,3114,443,1692,3550,10569,5043,16672,611,2185,942,2298,4450,10644,6001,15119,11047,31787,908,1968,59471,199898
LGA14920,885,1756,16,95,54,261,20,89,351,1391,445,1838,37,135,58,179,136,428,223,741,672,2576,3,22,23,100,17,53,154,442,193,624,8,15,12,25,126,273,144,307,336,932,44,99,1936,5361
LGA14950,398,800,8,48,27,147,17,75,179,783,234,1047,10,56,23,73,54,165,91,292,325,1341,4,11,9,49,6,14,44,118,60,196,4,11,6,10,59,125,66,149,124,348,9,28,868,2512
LGA15050,9222,18490,189,1065,1045,4867,426,1974,6230,24112,7898,32019,502,2108,700,2343,2012,6456,3209,10911,11109,42931,72,337,335,1165,186,690,1971,5442,2559,7630,169,520,342,780,1490,3315,2001,4609,4562,12237,350,750,25244,74406
