LGA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA59350,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,16,0,16,0,16,..,0,0,0,151,150,173,11,0,11,151,340
LGA59360,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,81,9,87,0,85,..,9,0,6,203,210,878,83,9,92,203,1173
LGA59370,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,33,0,35,0,43,..,102,3,106,5,107,..,3,0,3,281,281,3069,105,3,108,285,3459
LGA59499,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
LGA59799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
LGA60210,0,4,0,4,..,6,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,42,0,42,0,42,..,195,9,200,4,205,..,12,0,12,442,456,6108,203,9,214,445,6770
LGA60410,0,6,0,6,..,8,0,11,0,11,..,0,0,0,0,0,..,16,7,26,0,26,..,91,18,110,4,110,..,536,76,614,9,628,..,39,9,47,1016,1065,17299,581,85,664,1030,18995
LGA60610,0,28,0,28,..,16,5,19,0,19,..,0,0,0,0,0,..,15,0,15,0,15,..,113,19,132,4,142,..,835,85,920,17,931,..,53,5,59,953,1016,17974,891,90,982,965,19918
LGA60810,0,0,0,0,..,11,3,15,0,15,..,0,0,0,0,0,..,9,0,9,0,9,..,145,19,166,0,168,..,502,51,551,3,556,..,44,0,44,1130,1170,21032,544,50,595,1130,22760
LGA61010,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,9,3,13,..,72,0,76,0,83,..,7,0,7,216,223,2218,81,0,79,220,2520
LGA61210,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,62,9,72,0,74,..,324,24,351,4,356,..,16,0,16,648,671,7095,345,24,366,655,8117
LGA61410,0,35,0,35,..,70,7,76,0,74,..,16,0,16,0,13,..,159,21,183,0,182,..,441,70,514,22,534,..,4640,463,5113,58,5166,..,158,11,170,2760,2939,53422,4798,477,5284,2825,61531
LGA61510,0,0,0,0,..,0,0,5,0,5,..,0,0,0,0,0,..,9,0,9,0,12,..,50,10,53,0,54,..,223,19,248,4,250,..,28,0,30,660,693,9999,252,21,275,671,10942
LGA61610,0,6,0,6,..,31,5,31,0,31,..,0,0,0,0,0,..,44,23,64,0,67,..,175,38,219,16,234,..,1299,158,1460,18,1480,..,69,0,71,1106,1179,23499,1369,160,1527,1125,26150
LGA61810,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,5,..,37,0,39,0,39,..,148,5,158,4,155,..,17,0,23,465,483,6187,165,10,176,465,6829
LGA62010,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,21,0,20,0,20,..,0,0,0,59,59,831,31,0,29,59,922
LGA62210,0,0,0,0,..,6,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,39,4,46,0,49,..,160,14,172,0,173,..,26,0,29,395,426,6431,187,12,200,395,7033
LGA62410,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,6,0,8,0,8,..,35,0,35,0,35,..,300,17,320,0,324,..,20,0,22,349,371,4322,320,21,344,351,5012
LGA62610,9,105,3,104,..,58,8,64,4,70,..,5,0,4,0,4,..,297,66,363,4,373,..,974,282,1259,37,1294,..,8260,1099,9355,136,9492,..,206,49,259,2230,2486,38432,8465,1149,9611,2366,50411
LGA62810,6,102,0,102,..,94,12,103,0,103,..,24,4,30,0,30,..,343,23,367,4,372,..,746,122,864,29,897,..,10400,902,11301,92,11398,..,172,17,189,2180,2365,41311,10573,923,11492,2272,55077
LGA63010,0,0,0,0,..,7,0,10,0,10,..,3,7,9,0,4,..,8,5,10,0,10,..,120,5,130,0,130,..,690,42,734,14,743,..,43,0,42,1159,1203,16314,731,44,781,1175,18259
LGA63210,0,0,0,0,..,7,0,4,0,4,..,0,0,0,0,0,..,5,7,6,0,6,..,53,4,55,0,56,..,246,19,263,0,262,..,18,0,18,509,526,5812,266,19,285,505,6603
LGA63410,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,85,5,91,0,93,..,7,0,7,165,168,1352,91,5,97,164,1617
LGA63610,5,49,0,49,..,57,5,65,0,67,..,15,4,13,0,13,..,89,7,99,6,100,..,418,48,463,22,489,..,3881,390,4280,66,4345,..,91,11,103,1182,1282,34450,3980,400,4377,1249,40082
LGA63810,0,0,0,0,..,6,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,96,11,107,0,108,..,383,41,422,7,428,..,23,0,25,617,640,11353,406,46,448,620,12420
LGA64010,0,60,0,60,..,74,11,90,0,90,..,10,0,10,0,10,..,174,25,200,3,200,..,999,333,1329,33,1362,..,6358,1128,7484,99,7578,..,216,52,265,3296,3561,58910,6569,1181,7747,3387,70055
LGA64210,0,10,0,10,..,3,0,3,0,3,..,3,0,3,0,3,..,9,6,13,0,13,..,154,29,182,8,191,..,745,89,837,14,850,..,42,0,43,871,910,18946,780,91,874,890,20709
LGA64610,0,4,0,4,..,6,0,6,0,6,..,5,0,5,0,5,..,0,0,0,0,0,..,82,8,87,4,90,..,293,38,331,11,335,..,32,0,30,679,714,12697,324,36,363,686,13745
LGA64810,0,0,0,0,..,19,0,14,0,21,..,0,0,0,0,0,..,4,4,10,0,10,..,97,11,107,0,114,..,579,44,622,13,635,..,33,0,37,936,974,15123,607,45,656,952,16734
LGA65010,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,20,3,25,0,25,..,85,7,91,0,91,..,7,0,7,510,521,6055,96,7,103,510,6662
LGA65210,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,22,4,21,0,21,..,72,3,74,4,74,..,4,0,4,219,220,2298,71,3,82,218,2593
LGA65410,0,0,0,0,..,14,3,19,0,19,..,0,0,0,0,0,..,0,0,3,0,3,..,79,14,90,0,92,..,292,30,322,0,322,..,26,0,31,788,814,13160,322,24,346,791,14300
LGA65610,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,7,..,27,3,32,0,31,..,161,7,164,3,167,..,0,0,0,430,433,3662,163,7,170,432,4263
LGA65810,3,36,0,36,..,20,3,25,0,25,..,4,0,4,0,4,..,32,4,36,0,36,..,176,28,206,3,208,..,1295,133,1425,11,1442,..,77,3,83,1033,1114,22593,1375,135,1513,1042,25145
LGA69499,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,27,0,23,..,63,11,73,3,74,..,4,0,4,314,325,978,70,11,77,318,1377
LGA69799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,11,0,0,0,3,19
LGA70200,5,27,0,27,..,64,10,67,0,67,..,4,3,10,0,10,..,69,23,93,0,93,..,2409,253,2661,67,2732,..,5669,552,6221,114,6333,..,212,32,246,1674,1917,17658,5883,585,6461,1785,25912
