LGA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA16200,381,52,438,2151,822,111,3078,7426,924,11429
LGA16260,3654,380,4067,48262,5731,396,54391,143041,12654,210087
LGA16350,2149,550,2713,39560,7963,858,48384,111303,11854,171550
LGA16380,2875,515,3417,11904,4603,553,17055,51738,4109,72905
LGA16400,1555,292,1860,10892,4277,449,15619,43092,3672,62387
LGA16490,675,87,777,11281,3415,423,15119,33001,2824,50943
LGA16550,2617,726,3371,22045,3534,243,25823,80000,7753,113579
LGA16610,629,127,765,2995,1236,141,4375,12902,1976,19254
LGA16700,2623,461,3111,23019,3370,182,26570,76408,5173,108154
LGA16900,1295,394,1695,13070,4024,404,17497,40960,3199,61655
LGA16950,3077,404,3504,14412,5978,708,21093,63245,6848,91186
LGA17000,329,21,353,4278,1499,181,5955,12198,1344,19501
LGA17040,420,55,483,3100,1006,111,4217,12213,1684,18112
LGA17080,362,37,398,2053,841,86,2982,8030,1136,12150
LGA17100,767,55,826,6824,1038,57,7917,28462,2443,38823
LGA17150,5334,1061,6435,43004,9715,573,53295,127165,7221,187676
LGA17200,1638,385,2037,19293,3454,210,22953,157506,15140,195604
LGA17310,1314,250,1579,9619,3411,442,13475,32973,3912,50366
LGA17350,212,22,236,818,374,35,1225,3425,287,4939
LGA17400,187,23,211,727,263,33,1020,4215,624,5856
LGA17420,2437,379,2845,40852,6724,440,48018,98605,4585,151213
LGA17550,3200,623,3844,14186,4966,610,19763,55405,6142,81307
LGA17620,335,63,406,2189,704,59,2962,7757,865,11587
LGA17640,200,24,229,1223,492,43,1764,4720,616,7106
LGA17650,102,14,118,902,321,45,1271,3278,363,4915
LGA17750,1323,228,1567,10917,3897,490,15304,35080,3473,53857
LGA17850,68,11,81,396,155,28,574,1663,264,2508
LGA17900,62,20,83,500,176,18,692,2451,1135,4282
LGA17950,53,35,87,357,137,3,494,1302,254,2056
LGA18020,265,71,345,1099,405,46,1551,4994,1131,7669
LGA18050,1032,338,1381,11598,1826,127,13562,40256,3978,57794
LGA18100,126,18,143,436,220,22,678,2138,235,3050
LGA18200,121,18,136,1032,409,52,1488,3752,787,6027
LGA18250,1772,175,1954,15444,1933,165,17538,41434,2362,61331
LGA18350,1424,312,1764,7927,2564,279,10773,30684,2455,43908
LGA18400,573,197,766,10330,2318,268,12917,27049,2271,42243
LGA18450,4854,852,5754,35538,9795,740,46068,121940,8847,176857
LGA18500,1291,418,1724,8584,1891,95,10568,32364,2603,45542
LGA18710,292,44,338,2985,1056,140,4186,8953,724,13862
LGA19399,17,4,20,165,50,3,223,537,78,840
LGA19499,33,16,49,818,332,37,1191,5556,3362,10112
LGA19799,0,0,0,0,0,0,0,0,0,0
LGA20110,341,57,396,1879,619,82,2575,7765,865,11211
LGA20260,327,39,371,1465,634,63,2163,6487,1423,10072
LGA20570,2426,440,2877,18761,6152,708,25623,61500,5313,92434
LGA20660,3110,255,3400,22878,6248,474,29603,70342,3862,103806
LGA20740,993,223,1218,5447,2225,200,7875,24054,2699,34626
LGA20830,1173,173,1359,9253,3384,394,13034,30733,2903,46666
LGA20910,3009,382,3422,18492,5238,378,24109,56202,3318,83632
LGA21010,474,89,566,1603,779,76,2461,8863,1137,12460
LGA21110,4497,419,4961,28851,7963,479,37291,98696,4976,140967
LGA21180,3190,435,3664,28054,8069,530,36653,112656,11542,160852
LGA21270,227,62,286,751,302,20,1072,3638,538,5241
LGA21370,1035,235,1273,5370,2151,202,7726,21846,2549,32122
LGA21450,1253,231,1494,23454,5616,757,29823,56383,5215,91426
LGA21610,3757,418,4207,71018,14933,1758,87709,179305,15179,282197
LGA21670,431,73,501,1536,713,85,2329,8197,980,11511
