SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL31635,0,0,0,23,14,0,34,99,12,141
SAL31636,6,0,8,21,5,0,24,97,18,136
SAL31637,0,0,0,10,0,0,12,5,3,22
SAL31638,3,0,3,7,3,0,8,62,22,87
SAL31639,0,0,0,0,0,0,0,0,3,4
SAL31640,4,0,4,29,12,0,50,97,12,154
SAL31641,0,0,0,16,4,0,20,38,3,54
SAL31642,0,0,0,12,7,0,18,66,16,106
SAL31643,0,0,0,8,0,0,10,5,0,17
SAL31644,0,0,0,13,3,0,15,54,13,81
SAL31645,0,0,0,32,8,0,38,63,8,108
SAL31646,0,0,0,4,0,0,4,31,22,61
SAL31647,126,3,133,995,299,34,1325,3173,292,4786
SAL31648,0,0,0,0,0,0,0,12,0,12
SAL31649,0,0,0,8,0,0,8,56,0,64
SAL31650,36,0,41,693,210,51,955,2161,259,3380
SAL31651,0,0,0,5,4,0,5,17,4,22
SAL31652,0,0,0,0,0,0,0,8,0,12
SAL31653,3,0,3,16,6,0,18,69,11,95
SAL31654,0,0,0,10,4,0,9,31,6,45
SAL31655,3,0,3,41,22,0,61,357,71,494
SAL31656,0,0,0,0,0,0,0,0,0,5
SAL31657,6,0,6,14,8,0,21,37,4,61
SAL31658,0,0,0,11,0,0,10,13,21,40
SAL31659,0,0,0,4,6,0,11,23,0,36
SAL31660,0,0,0,4,0,0,8,5,0,9
SAL31661,3,0,3,24,19,0,44,96,4,148
SAL31662,0,0,0,19,8,0,27,69,16,114
SAL31663,0,0,0,6,0,0,6,29,3,42
SAL31664,0,0,0,0,0,0,0,4,0,5
SAL31665,0,0,5,71,27,0,101,197,32,335
SAL31666,0,0,0,9,6,0,13,94,16,124
SAL31667,276,173,447,1820,518,76,2415,5945,682,9038
SAL31668,0,0,0,35,13,6,55,145,29,222
SAL31669,0,0,0,6,0,0,6,61,3,66
SAL31670,0,0,0,17,0,0,17,25,11,60
SAL31671,4,0,4,14,9,0,25,75,6,100
SAL31672,0,0,0,19,12,0,33,50,13,94
SAL31673,6,0,6,99,76,3,178,234,58,467
SAL31674,5,0,5,81,25,7,116,312,25,451
SAL31675,0,0,0,20,9,0,27,44,11,73
SAL31676,3,0,3,73,30,4,105,300,36,438
SAL31677,44,4,49,818,285,41,1145,3037,564,4752
SAL31678,34,0,38,1347,313,54,1711,2907,466,5092
SAL31679,42,0,41,884,332,49,1264,2790,234,4292
SAL31680,36,3,40,1310,383,55,1747,3202,253,5199
SAL31681,41,5,52,1330,337,66,1724,4187,802,6717
SAL31682,0,0,0,27,16,0,46,74,22,136
SAL31683,0,0,0,21,3,0,23,43,8,68
SAL31684,0,0,0,19,7,0,30,81,9,119
SAL31685,76,12,88,419,153,22,590,1608,332,2532
SAL31686,35,55,92,696,204,18,917,1721,180,2822
SAL31687,0,0,0,13,5,0,15,48,18,85
SAL31688,0,0,0,0,0,0,0,5,3,8
SAL31689,6,0,12,187,48,16,250,562,61,865
SAL31690,0,0,0,10,0,0,10,25,0,42
SAL31691,0,0,0,5,0,0,8,6,0,14
SAL31692,0,0,0,12,7,0,23,50,7,78
SAL31693,3,0,3,17,16,0,34,108,26,166
SAL31694,3,0,3,30,32,0,61,133,3,194
SAL31695,3,0,3,13,3,0,16,47,11,74
SAL31696,7,0,7,35,3,6,44,189,25,258
SAL31697,0,0,0,5,0,0,5,9,0,13
SAL31698,0,0,0,5,5,0,8,6,3,18
SAL31699,6,0,4,18,8,0,24,102,28,151
SAL31700,36,22,59,586,221,33,838,2100,283,3224
SAL31701,14,7,17,39,26,0,62,284,27,380
SAL31702,0,0,0,6,0,0,6,3,0,9
SAL31703,0,0,0,0,0,0,0,0,0,0
SAL31704,5,0,5,10,0,6,10,30,0,47
SAL31705,7,0,7,30,13,0,48,158,5,218
SAL31706,86,17,105,510,126,8,643,3257,258,4152
SAL31707,0,0,0,0,6,0,4,0,0,4
SAL31708,0,0,0,0,0,0,0,11,0,12
SAL31709,0,0,0,0,0,0,0,0,0,3
SAL31710,0,0,0,3,0,0,3,30,0,36
SAL31711,0,0,0,8,4,0,10,21,3,34
SAL31712,0,0,0,0,0,0,0,3,0,3
SAL31713,0,0,0,22,4,0,28,85,14,126
SAL31714,0,0,0,3,3,0,13,31,3,43
SAL31715,0,0,0,5,3,0,4,7,5,20
SAL31716,3,3,7,7,3,0,12,210,20,243
SAL31717,0,0,0,30,19,8,58,102,9,166
SAL31718,0,0,0,25,8,0,25,94,14,128
SAL31719,0,0,0,0,0,0,0,0,0,0
SAL31720,0,0,0,0,4,0,5,10,0,17
SAL31721,87,4,92,809,246,19,1074,3815,290,5180
SAL31722,10,0,10,153,58,4,216,523,46,782
SAL31723,0,0,0,21,6,0,24,63,5,101
SAL31724,60,10,66,387,172,14,569,2320,646,3537
SAL31725,5,0,5,61,43,0,111,413,94,615
SAL31726,12,0,12,550,128,12,691,1078,25,1798
SAL31727,0,0,0,7,0,0,9,15,0,22
SAL31728,0,0,0,12,5,0,16,47,5,71
SAL31729,3,0,3,27,11,6,44,109,10,168
SAL31730,0,0,0,25,5,0,26,76,4,104
SAL31731,64,13,82,175,111,13,299,2391,262,2946
SAL31732,0,0,0,11,4,3,20,75,7,98
SAL31733,0,0,0,5,0,0,3,5,0,14
SAL31734,0,0,4,21,8,0,23,135,33,193
SAL31735,78,15,94,281,192,3,485,2823,459,3767
SAL31736,3,0,9,33,21,5,60,183,45,284
SAL31737,59,32,89,280,108,13,396,1085,161,1640
SAL31738,0,0,0,0,0,0,0,15,0,15
SAL31739,174,21,200,448,210,17,671,2647,175,3496
SAL31740,0,0,0,9,0,0,13,13,0,32
SAL31741,0,0,0,0,0,0,9,23,0,31
SAL31742,0,0,0,3,0,0,3,0,0,3
SAL31743,0,0,0,3,0,0,3,6,0,19
SAL31744,0,0,0,0,0,0,0,0,0,0
SAL31745,0,0,0,10,0,0,15,24,5,39
SAL31746,0,0,3,46,17,0,62,163,47,269
SAL31747,103,12,114,3738,625,118,4486,5791,496,10775
SAL31748,54,0,60,705,245,27,974,2412,135,3524
SAL31749,300,29,327,2467,610,82,3155,6361,375,9891
SAL31750,0,0,0,9,7,0,17,53,9,76
SAL31751,84,3,89,734,238,33,1007,3246,669,4928
SAL31752,137,4,140,1733,455,46,2231,4543,224,7005
SAL31753,0,0,0,7,3,0,11,8,3,20
SAL31754,0,0,0,8,0,0,9,24,7,38
SAL31755,63,10,74,590,197,22,813,3049,501,4362
SAL31756,0,0,0,6,0,0,6,50,13,73
SAL31757,40,0,47,137,89,9,242,1114,112,1471
SAL31758,0,0,0,58,33,44,133,141,67,341
SAL31759,0,0,0,0,0,0,0,20,7,26
SAL31760,4,3,13,170,58,6,233,512,55,799
SAL31761,37,6,41,476,170,27,672,1969,226,2869
SAL31762,7,0,7,138,46,4,187,485,32,697
SAL31763,296,40,340,1499,515,72,2082,6552,1018,9654
SAL31764,153,7,164,1113,390,49,1549,4387,419,6355
SAL31765,0,0,0,18,0,0,28,74,18,117
SAL31766,14,0,14,931,190,32,1149,1633,297,3077
SAL31767,0,0,3,19,7,0,25,86,27,134
SAL31768,0,0,0,5,0,0,5,7,0,13
SAL31769,4,0,4,26,8,0,31,117,15,172
SAL31770,0,0,0,0,0,0,0,4,0,4
SAL31771,19,4,23,279,92,4,382,894,61,1335
SAL31772,616,198,818,2205,935,60,3208,13406,1794,18402
SAL31773,0,0,0,20,9,0,37,82,10,130
SAL31774,7,0,4,37,10,0,44,217,31,295
SAL31775,61,16,82,2434,672,102,3209,6411,1057,10671
SAL31776,0,0,0,3,0,0,3,15,0,22
SAL31777,0,0,0,17,5,0,25,56,4,90
SAL31778,552,74,631,1724,754,103,2581,9373,975,12926
SAL31779,10,3,11,59,55,5,116,346,20,482
SAL31780,0,0,0,17,0,0,20,44,3,69
SAL31781,0,0,0,6,3,0,4,16,14,41
SAL31782,9,0,6,29,21,0,54,255,31,341
SAL31783,0,0,0,36,25,0,65,108,13,184
SAL31784,0,0,0,17,5,0,19,71,3,100
SAL31785,20,4,28,1957,388,57,2404,3287,221,5909
SAL31786,0,0,0,5,0,0,3,17,4,23
SAL31787,0,0,0,21,6,0,28,43,6,76
SAL31788,0,0,0,9,3,0,9,14,0,26
SAL31789,4,0,4,44,13,0,62,121,16,205
SAL31790,80,0,83,1563,428,29,2014,3873,159,6042
SAL31791,0,0,0,18,13,3,33,103,13,144
SAL31792,3,0,4,34,8,0,43,110,10,168
