SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL13316,49,587,807,308,175,1926,19,1944
SAL13317,3,96,169,79,64,424,5,420
SAL13318,0,41,121,47,40,251,5,259
SAL13319,0,14,8,9,4,35,0,35
SAL13320,0,49,101,42,25,212,5,212
SAL13321,0,23,29,16,5,77,0,73
SAL13322,25,188,137,41,31,421,5,425
SAL13323,81,381,251,33,19,774,11,779
SAL13324,0,16,18,16,18,64,4,63
SAL13325,2078,6262,2689,463,168,11656,129,11786
SAL13326,0,4,7,0,4,16,0,16
SAL13327,0,0,3,0,0,11,0,11
SAL13328,16,259,452,124,71,926,5,924
SAL13329,5,19,22,13,13,71,0,75
SAL13330,0,3,7,7,3,21,0,21
SAL13331,0,15,15,9,4,44,8,43
SAL13332,13,222,289,144,80,755,9,767
SAL13333,0,6,4,0,8,24,0,26
SAL13334,14,70,50,21,4,153,10,158
SAL13335,0,0,0,0,0,0,0,0
SAL13336,0,11,19,10,8,38,0,38
SAL13337,0,0,0,0,4,4,0,9
SAL13338,6,179,333,124,63,704,6,715
SAL13339,0,4,10,6,0,17,0,19
SAL13340,334,1971,1767,614,301,4986,91,5070
SAL13341,0,32,97,68,123,326,0,332
SAL13342,4,133,134,39,22,326,5,333
SAL13343,0,0,0,0,0,3,0,3
SAL13344,0,0,3,3,0,8,0,13
SAL13345,0,0,0,0,0,0,0,0
SAL13346,0,20,37,9,12,81,0,83
SAL13347,5,72,61,15,8,161,0,167
SAL13348,0,0,0,0,0,0,0,0
SAL13349,0,21,59,28,19,138,0,140
SAL13350,0,20,32,19,10,79,0,79
SAL13351,0,7,14,10,0,32,0,32
SAL13352,2297,2639,669,104,51,5750,133,5889
SAL13353,83,484,546,170,109,1388,29,1416
SAL13354,0,3,0,0,4,8,0,8
SAL13355,0,4,15,17,16,56,0,56
SAL13356,0,10,12,10,0,33,4,30
SAL13357,0,4,3,0,4,15,0,15
SAL13358,195,619,459,158,111,1544,27,1571
SAL13359,11,66,117,41,41,279,5,284
SAL13360,0,13,12,10,3,37,0,37
SAL13361,0,12,19,8,5,45,0,45
SAL13362,0,0,5,0,3,3,0,3
SAL13363,0,4,23,3,6,38,0,43
SAL13364,4,115,257,76,41,493,5,494
SAL13365,0,9,23,8,0,44,0,44
SAL13366,0,64,124,41,23,256,7,260
SAL13367,0,15,22,11,11,58,0,58
