SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL21744,0,0,0,0,0,0,5,0,0,5,13,6,3,13,11,14,18,3,0,81
SAL21745,0,0,5,0,0,3,0,0,0,8,5,0,6,3,0,8,6,4,0,32
SAL21746,65,34,58,68,61,44,33,29,15,407,1169,611,832,1061,876,695,530,358,161,6293
SAL21747,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,23
SAL21748,0,0,0,0,0,7,0,0,0,7,12,12,13,12,16,20,4,8,0,97
SAL21749,0,0,0,0,0,0,0,0,0,0,19,6,5,8,11,16,16,0,0,81
SAL21750,0,0,0,0,0,0,0,0,0,0,5,0,7,4,3,8,0,0,0,27
SAL21751,0,0,0,0,3,0,0,3,0,6,5,0,4,4,12,5,3,10,0,43
SAL21752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SAL21753,0,0,0,0,0,0,0,0,0,0,6,9,0,4,18,16,16,3,0,72
SAL21754,8,13,8,12,12,10,7,0,3,73,140,143,77,93,158,161,135,63,25,995
SAL21755,291,214,204,187,162,157,113,60,32,1420,4568,2794,3358,3351,2897,2520,2074,1141,346,23049
SAL21756,190,122,129,110,121,122,115,89,34,1032,1403,969,1060,886,1031,1058,1043,624,238,8312
SAL21757,4,6,3,4,4,0,0,0,0,21,34,15,17,26,21,15,12,4,0,144
SAL21758,0,0,0,0,0,0,0,0,0,0,14,4,5,3,11,13,8,6,0,64
SAL21759,6,5,0,4,3,5,0,0,5,28,33,26,18,20,24,41,19,5,6,192
SAL21760,99,55,68,77,80,61,38,23,11,512,1642,967,1053,1347,1434,1067,715,420,245,8890
SAL21761,0,0,4,0,0,0,0,0,0,4,0,0,4,5,0,7,4,0,0,20
SAL21762,5,8,5,13,0,4,3,3,0,41,215,90,69,151,126,94,74,26,7,852
SAL21763,243,163,149,159,234,201,253,265,236,1903,3861,2480,2101,2702,3409,3148,3704,3001,1341,25747
SAL21764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21765,7,6,3,0,0,0,3,0,0,19,19,21,8,4,20,22,24,0,0,118
SAL21766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21767,19,14,18,16,22,19,29,10,6,153,252,136,145,132,168,217,228,133,61,1472
SAL21768,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,4,4,0,0,11
SAL21769,427,239,266,253,244,211,162,113,115,2030,2498,1630,1772,1503,1761,1960,1746,1050,475,14395
SAL21770,8,0,0,4,8,0,9,0,0,29,18,11,13,11,27,29,23,4,5,141
SAL21771,0,0,0,5,0,0,0,0,0,5,12,6,6,7,4,3,7,0,0,45
SAL21772,16,3,8,7,12,17,12,4,0,79,139,83,96,102,104,127,157,75,33,916
SAL21773,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
SAL21774,6,0,0,0,4,0,3,0,0,13,7,0,3,5,6,6,18,5,0,50
SAL21775,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,4,0,0,18
SAL21776,3,3,0,0,3,0,0,0,0,9,5,5,0,4,8,19,9,0,0,50
SAL21777,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
SAL21778,6,40,53,15,10,7,6,8,0,145,23,94,122,29,20,25,10,8,0,331
SAL21779,0,9,6,3,5,4,4,0,0,31,19,39,25,14,37,26,20,10,0,190
SAL21780,0,0,0,0,0,0,0,0,0,0,14,10,4,10,3,8,11,3,0,63
SAL21781,3,4,0,0,0,3,3,0,0,13,11,10,10,13,23,30,28,10,0,135
SAL21782,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,4,0,0,0,7
SAL21783,75,59,49,23,22,29,22,20,6,305,745,475,504,513,390,365,361,231,94,3678
SAL21784,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,0,0,15
SAL21785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
SAL21786,9,12,3,7,6,7,7,0,3,54,96,61,50,71,53,71,61,25,12,500
SAL21787,20,4,6,19,8,20,15,11,0,103,220,134,113,161,172,185,166,86,25,1262
SAL21788,0,0,0,0,0,6,0,0,0,6,18,13,7,6,22,35,12,6,0,119
SAL21789,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6
SAL21790,96,49,74,56,44,51,33,7,0,410,1500,719,1236,1028,637,498,407,136,19,6180
SAL21791,4,0,4,4,5,4,6,3,0,30,25,16,6,16,15,20,22,9,0,129
SAL21792,17,10,8,12,15,14,0,0,0,76,137,63,58,112,137,98,71,21,6,703
SAL21793,254,151,53,134,181,140,122,85,35,1155,3848,2201,913,2140,2989,2471,2194,1446,531,18733
SAL21794,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,5,0,0,23
SAL21795,113,77,64,67,69,72,42,27,6,537,1962,1201,1304,1326,1305,1231,935,452,76,9792
SAL21796,0,0,0,0,9,0,0,3,0,12,15,8,4,18,27,19,4,5,0,100
SAL21797,0,8,0,3,5,7,3,0,0,26,12,14,0,11,12,21,15,4,4,93
SAL21798,36,69,15,37,25,9,22,3,3,219,620,516,306,378,384,379,290,112,18,3003
SAL21799,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,9,0,0,0,18
SAL21800,0,0,0,0,5,0,5,0,0,10,9,0,3,4,9,8,7,7,0,47
SAL21801,28,5,8,14,17,12,27,12,3,126,275,105,91,175,220,244,233,95,11,1449
SAL21802,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,7
SAL21803,284,176,79,146,220,157,143,101,54,1360,3814,2269,1144,2246,3132,2514,2445,1657,618,19839
SAL21804,6,0,0,0,0,0,0,0,0,6,27,4,10,14,13,14,11,4,5,102
SAL21805,0,0,4,0,0,5,0,0,0,9,50,33,21,29,35,28,24,18,3,241
SAL21806,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
SAL21807,44,34,39,16,30,26,13,9,0,211,365,341,400,265,280,236,194,107,33,2221
SAL21808,0,0,0,0,0,0,6,0,0,6,3,3,0,5,6,0,10,3,0,30
SAL21809,3,0,0,0,0,0,0,0,0,3,7,0,4,3,6,3,5,0,0,28
SAL21810,0,0,0,3,0,0,0,0,0,3,55,21,8,35,47,36,43,30,13,288
SAL21811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21813,0,0,0,0,0,4,7,0,0,11,58,40,33,48,39,54,46,15,4,337
SAL21814,3,0,0,0,4,0,0,0,0,7,23,12,5,12,25,19,11,5,0,112
SAL21815,7,3,0,4,0,0,0,0,0,14,18,9,10,18,19,19,13,12,0,118
SAL21816,261,275,258,204,269,211,122,119,85,1804,5992,4724,4286,4812,4847,4094,2997,2397,1186,35335
SAL21817,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,16,19,8,0,52
SAL21818,3,0,0,0,0,0,3,0,0,6,21,6,5,9,20,5,6,6,0,78
SAL21819,0,0,3,0,0,6,5,0,0,14,27,11,6,19,8,22,14,0,0,107
SAL21820,0,3,0,3,7,3,3,0,0,19,74,50,33,43,66,70,64,33,9,442
SAL21821,0,0,4,0,0,0,0,0,0,4,6,0,8,0,4,10,3,0,0,31
SAL21822,0,0,0,0,0,3,7,0,0,10,80,27,29,40,59,51,82,27,5,400
SAL21823,6,0,0,3,0,3,0,0,0,12,39,20,14,27,23,25,16,3,0,167
SAL21824,0,11,4,0,7,4,10,5,0,41,67,54,30,41,74,70,57,25,4,422
SAL21825,0,0,0,0,3,0,0,0,0,3,4,3,0,4,6,4,14,0,0,35
SAL21826,0,0,0,0,0,7,3,0,0,10,24,3,16,15,26,53,38,12,3,190
SAL21827,179,138,148,139,153,115,100,90,38,1100,3516,2190,2704,2894,2599,2073,1965,1420,519,19880
SAL21828,0,0,0,0,0,0,3,0,0,3,11,8,6,8,15,26,19,7,0,100
SAL21829,0,6,0,0,0,4,4,0,0,14,26,13,22,3,15,20,24,7,0,130
SAL21830,4,0,11,6,4,7,6,4,0,42,20,11,18,14,19,37,31,12,0,162
SAL21831,0,0,0,0,0,0,0,0,0,0,8,0,0,6,6,3,0,0,0,23
SAL21832,10,6,3,5,10,8,19,7,3,71,134,83,81,64,119,132,168,72,24,877
SAL21833,0,0,0,0,3,6,0,4,0,13,5,7,8,6,25,33,33,25,0,142
SAL21834,3,0,0,0,0,3,0,0,0,6,34,22,20,13,37,40,19,7,0,192
SAL21835,6,6,3,4,6,0,0,0,0,25,28,18,4,12,26,18,12,0,0,118
SAL21836,0,4,0,0,3,4,0,0,0,11,10,4,7,6,12,18,12,8,0,77
SAL21837,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,10
SAL21838,0,4,0,3,8,0,0,0,0,15,7,7,4,4,8,12,0,0,0,42
SAL21839,0,0,0,0,0,0,0,0,0,0,23,6,7,13,11,4,5,0,0,69
SAL21840,0,0,0,7,7,7,4,3,0,28,39,12,16,20,30,40,42,19,12,230
SAL21841,0,0,0,0,0,0,0,0,0,0,6,4,3,9,0,9,0,0,0,31
SAL21842,10,3,4,4,3,0,0,0,0,24,24,13,10,16,13,25,3,11,0,115
SAL21843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
SAL21844,0,0,0,3,0,0,4,0,0,7,17,7,14,10,12,24,18,0,0,102
SAL21845,12,4,3,3,3,4,0,0,0,29,50,19,23,28,31,54,42,25,4,276
SAL21846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,10
SAL21847,0,0,0,0,0,0,8,0,0,8,4,4,13,13,11,25,32,16,0,118
SAL21848,0,3,0,0,4,0,3,3,0,13,13,15,6,8,18,10,20,10,0,100
SAL21849,77,38,90,72,76,55,40,16,8,472,1616,1163,1725,1565,1357,1137,803,422,201,9989
SAL21850,11,10,8,4,8,8,7,3,4,63,166,95,75,85,110,136,132,74,23,896
SAL21851,4,3,0,0,3,3,4,4,0,21,15,5,5,15,22,25,52,26,3,168
SAL21852,5,0,6,0,3,3,3,0,0,20,25,14,22,15,34,26,26,6,0,168
SAL21853,0,0,0,0,0,0,0,0,0,0,11,5,13,3,6,13,5,3,3,62
SAL21854,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8
SAL21855,0,0,0,0,0,0,6,0,0,6,16,14,0,15,11,16,29,7,0,108
SAL21856,0,0,0,0,3,0,0,0,0,3,11,0,3,3,7,17,7,5,0,53
SAL21857,4,6,0,3,3,10,6,3,0,35,79,58,32,66,75,110,99,18,8,545
SAL21858,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,3,0,9
SAL21859,10,3,5,3,9,6,7,0,0,43,60,55,31,38,83,68,38,16,3,392
SAL21860,0,0,0,0,0,3,5,0,0,8,26,7,20,18,19,22,31,18,3,164
SAL21861,0,0,0,0,0,0,0,0,0,0,10,13,0,0,10,15,10,4,0,62
SAL21862,4,7,0,6,3,0,0,0,0,20,18,22,0,15,19,27,14,11,0,126
SAL21863,23,26,16,19,27,36,26,19,13,205,512,302,311,336,387,492,447,328,169,3284
SAL21864,4,0,0,0,0,4,0,0,0,8,5,4,0,0,3,8,0,0,0,20
SAL21865,6,0,0,4,4,7,0,3,5,29,26,17,25,11,31,50,25,28,11,224
SAL21866,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7,6,0,0,20
SAL21867,38,19,16,27,30,33,39,37,29,268,347,179,218,244,218,355,393,207,92,2253
SAL21868,3,0,3,0,0,5,0,0,0,11,14,12,5,10,9,12,13,0,0,75
SAL21869,0,0,0,0,0,0,0,0,0,0,0,5,4,0,10,3,4,0,0,26
SAL21870,18,7,16,9,10,0,0,0,0,60,57,33,41,42,38,38,26,10,0,285
SAL21871,0,0,0,0,0,0,0,0,0,0,4,0,3,8,3,5,7,3,0,33
SAL21872,0,0,0,0,0,0,0,0,0,0,17,5,0,9,0,6,9,4,0,50
SAL21873,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,0,0,16
SAL21874,5,3,0,5,0,0,0,0,0,13,26,12,16,26,26,25,15,9,0,155
SAL21875,13,8,8,3,10,9,0,0,0,51,95,61,42,54,56,70,31,10,0,419
SAL21876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21877,3,8,0,0,7,9,7,0,0,34,87,76,36,55,87,86,84,30,8,549
SAL21878,11,10,9,10,12,15,7,0,0,74,191,117,130,113,153,171,111,27,10,1023
SAL21879,28,18,11,19,22,10,12,3,4,127,136,114,74,100,131,127,97,30,17,826
SAL21880,0,0,0,0,0,0,5,0,0,5,29,13,24,9,37,48,39,9,0,208
SAL21881,0,0,0,0,0,0,0,0,0,0,5,10,5,3,4,5,3,4,0,39
SAL21882,8,0,0,4,0,0,0,0,0,12,26,4,0,12,8,13,4,0,0,67
SAL21883,0,0,0,0,0,5,0,0,0,5,5,4,3,0,8,4,0,0,0,24
SAL21884,0,0,0,0,6,4,0,0,0,10,7,16,0,6,20,14,11,8,3,85
SAL21885,4,0,6,0,5,7,0,0,0,22,34,11,14,7,20,24,12,0,0,122
SAL21886,4,3,4,5,0,8,0,0,0,24,24,6,24,10,7,29,17,7,3,127
SAL21887,0,0,0,0,0,0,3,0,0,3,20,15,10,15,9,11,12,0,3,95
SAL21888,0,0,0,0,0,0,0,0,0,0,15,0,0,13,6,14,14,3,0,65
SAL21889,4,5,7,5,4,7,3,5,5,45,40,31,25,37,26,38,51,18,3,269
SAL21890,0,0,0,0,0,0,0,0,0,0,8,13,0,5,10,8,3,3,0,50
SAL21891,0,0,0,0,0,0,0,0,0,0,9,3,3,7,0,3,3,5,0,33
SAL21892,4,3,0,0,0,6,0,3,0,16,98,37,22,73,59,68,69,27,8,461
SAL21893,430,328,381,307,253,247,113,58,30,2147,5367,3754,4433,3833,3589,3353,1974,1011,381,27695
SAL21894,10,9,0,10,6,4,4,0,0,43,73,66,50,54,64,70,39,17,7,440
SAL21895,109,85,60,59,76,73,64,19,11,556,1408,1281,730,822,1241,1209,789,369,179,8028
SAL21896,400,346,211,227,263,175,84,42,18,1766,6800,5201,3737,4263,4778,3371,1789,784,192,30915
SAL21897,0,0,0,0,0,0,0,0,0,0,10,0,3,3,0,0,0,0,0,16
SAL21898,32,19,14,11,11,23,19,7,4,140,317,237,191,191,221,304,275,158,80,1974
SAL21899,5,0,0,6,5,6,0,3,3,28,66,35,48,61,75,118,67,39,39,548
SAL21900,3,0,0,5,0,0,6,0,0,14,19,6,4,12,17,17,15,3,5,98
SAL21901,0,0,0,0,0,0,0,0,0,0,7,3,5,7,7,11,0,0,0,40
SAL21902,0,4,0,0,4,0,0,0,0,8,11,11,7,4,19,18,16,9,4,99
SAL21903,6,5,3,5,0,5,5,0,0,29,52,33,22,31,36,34,47,9,4,268
SAL21904,0,0,0,0,3,0,0,0,0,3,12,7,8,5,8,15,11,11,0,77
SAL21905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21906,0,0,0,0,0,0,0,0,0,0,4,6,3,3,4,3,6,0,0,29
SAL21907,10,0,0,10,0,4,7,3,0,34,32,19,5,26,24,49,35,15,3,208
SAL21908,9,3,0,6,5,4,3,0,0,30,32,24,11,27,33,31,36,4,0,198
SAL21909,0,0,5,6,0,0,0,0,0,11,14,13,10,22,10,23,35,13,0,140
SAL21910,0,0,0,0,0,0,0,0,0,0,8,8,3,0,5,8,3,0,0,35
SAL21911,31,12,16,18,19,27,26,17,9,175,281,160,163,155,172,240,238,130,53,1592
SAL21912,18,3,10,5,18,29,23,7,0,113,61,29,22,30,60,96,61,18,3,380
SAL21913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21914,0,5,0,9,0,0,11,4,0,29,11,6,13,19,23,40,62,14,4,192
SAL21915,7,0,0,0,3,4,3,0,0,17,55,24,16,20,40,30,42,15,0,242
SAL21916,5,0,0,3,0,0,0,0,0,8,11,0,11,3,4,5,5,0,0,39
SAL21917,10,9,5,3,12,7,5,0,0,51,185,128,88,115,170,155,87,31,9,968
SAL21918,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,12
SAL21919,0,3,0,0,0,3,0,0,0,6,26,16,10,13,9,23,9,5,0,111
SAL21920,4,0,0,3,0,0,4,0,0,11,17,6,9,6,9,5,0,0,0,52
SAL21921,31,30,9,19,31,23,10,7,0,160,525,318,183,332,411,275,219,166,67,2496
SAL21922,142,75,83,59,76,76,50,35,16,612,1145,785,897,742,814,897,806,518,289,6893
SAL21923,0,0,5,0,0,0,3,0,0,8,17,11,9,15,22,42,32,13,8,169
SAL21924,0,0,0,0,0,3,0,0,0,3,11,5,5,8,11,17,23,9,0,89
SAL21925,61,61,57,56,51,42,47,29,24,428,639,552,841,546,512,587,489,375,158,4699
SAL21926,3,0,0,0,0,0,0,0,0,3,8,10,3,8,8,10,9,4,0,60
SAL21927,10,5,0,0,8,10,0,5,0,38,97,48,29,61,91,82,78,43,6,535
SAL21928,7,3,7,0,5,18,15,10,6,71,58,45,44,41,50,121,110,49,21,539
SAL21929,23,19,8,12,22,8,11,5,4,112,346,335,162,208,250,201,190,109,42,1843
SAL21930,6,3,0,8,4,13,10,8,5,57,95,48,41,58,106,165,228,105,20,866
SAL21931,0,0,0,6,0,0,3,4,0,13,33,8,6,18,12,24,23,12,0,136
SAL21932,0,0,3,6,0,0,0,0,0,9,44,19,30,47,16,29,29,10,6,230
SAL21933,6,8,4,0,9,4,9,3,0,43,74,49,28,38,60,59,77,29,7,421
SAL21934,153,73,121,139,135,84,48,30,21,804,2981,1270,1675,2472,2121,1563,867,435,271,13655
SAL21935,13,10,0,3,8,4,8,11,0,57,97,45,63,51,55,60,44,28,5,448
SAL21936,11,12,6,9,16,11,21,5,0,91,133,64,68,82,106,133,154,68,16,824
SAL21937,3,0,0,0,3,0,3,4,0,13,40,17,18,19,25,28,24,18,0,189
SAL21938,145,82,69,84,87,89,68,30,23,677,2003,1291,1146,1349,1467,1351,1058,580,201,10446
SAL21939,35,19,27,22,19,31,25,13,17,208,364,242,324,214,282,325,263,248,133,2395
SAL21940,26,10,10,19,21,14,6,6,4,116,405,179,142,245,262,240,151,70,27,1721
SAL21941,18,12,11,7,9,11,17,6,9,100,236,130,135,120,156,212,209,103,24,1325
SAL21942,56,42,38,50,60,53,34,17,19,369,1061,732,707,849,917,728,484,253,168,5899
SAL21943,10,3,6,3,7,4,4,5,0,42,89,46,48,37,55,53,45,19,7,399
SAL21944,5,0,6,4,9,5,9,3,0,41,49,40,26,38,36,51,67,22,11,340
SAL21945,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,7
SAL21946,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,4,0,0,7
SAL21947,3,0,6,0,0,0,0,0,0,9,26,11,15,21,28,30,25,8,0,164
SAL21948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6
SAL21949,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,12,8,3,5,47
SAL21950,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SAL21951,0,0,4,0,0,0,0,0,0,4,15,7,6,11,8,12,6,6,5,76
SAL21952,440,284,493,351,270,272,164,126,45,2445,5261,4070,6407,4698,3515,3340,2579,1629,750,32249
SAL21953,98,78,83,74,72,62,57,29,7,560,1259,886,996,981,1003,854,825,517,115,7436
SAL21954,5,0,3,7,4,11,6,0,0,36,17,16,8,14,26,55,28,11,0,175
SAL21955,7,8,6,0,8,4,9,0,0,42,55,28,28,20,55,56,48,14,10,314
SAL21956,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,5,5,0,0,24
SAL21957,5,0,5,0,0,0,3,0,0,13,21,6,9,12,8,16,12,5,0,89
SAL21958,4,0,0,0,5,0,0,0,0,9,3,0,0,6,3,8,9,4,0,33
SAL21959,0,0,5,4,0,0,0,0,0,9,20,6,12,16,7,16,8,0,0,85
SAL21960,200,141,188,144,139,114,81,47,24,1078,1393,1110,1504,1007,1043,1038,864,495,232,8686
SAL21961,0,0,0,0,0,0,0,0,0,0,10,3,4,5,4,0,0,0,0,26
SAL21962,3,6,0,0,8,8,0,0,0,25,27,12,12,18,34,21,7,3,0,134
SAL21963,71,65,76,39,47,51,35,37,57,478,671,580,734,489,489,469,394,255,203,4284
SAL21964,0,0,0,0,0,0,0,0,0,0,3,5,0,3,7,12,13,9,0,52
SAL21965,43,29,40,28,28,23,16,19,12,238,530,322,534,394,386,267,299,242,242,3216
SAL21966,228,269,400,244,145,129,82,25,8,1530,1733,2767,4283,2355,1472,1105,779,333,126,14953
SAL21967,0,0,4,10,3,4,0,0,0,21,42,27,38,54,54,51,35,16,4,321
SAL21968,12,3,3,0,0,0,5,0,0,23,40,35,41,17,33,48,46,16,7,283
SAL21969,46,19,14,18,40,22,16,12,0,187,620,396,239,377,552,442,261,125,20,3032
SAL21970,57,33,35,27,34,22,35,16,4,263,615,408,418,372,391,437,479,279,68,3467
SAL21971,226,160,295,259,236,158,96,63,33,1526,3787,2521,5164,4021,3830,2629,1682,1111,528,25273
SAL21972,3,4,0,3,7,3,4,3,0,27,31,25,28,25,25,34,24,9,4,205
SAL21973,0,0,0,0,0,0,0,0,0,0,5,6,4,5,0,9,3,0,0,32
SAL21974,23,63,63,34,22,15,9,0,0,229,364,584,807,423,258,202,139,80,46,2903
SAL21975,5,0,0,4,3,8,4,5,0,29,18,13,8,28,28,44,42,16,0,197
SAL21976,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,4,0,15
SAL21977,0,0,0,0,0,0,0,0,0,0,6,0,5,0,9,9,0,0,0,29
SAL21978,0,0,0,0,0,0,0,6,0,6,9,0,0,6,6,7,3,6,0,37
SAL21979,0,3,9,14,5,6,0,0,0,37,7,3,13,18,3,11,5,4,0,64
SAL21980,0,0,0,0,0,0,0,0,0,0,14,7,3,13,21,18,14,9,0,99
SAL21981,3,5,4,0,0,0,0,0,0,12,47,38,26,31,31,31,19,11,0,234
SAL21982,0,0,0,0,0,0,0,0,0,0,4,11,11,0,7,9,3,0,0,45
SAL21983,0,5,0,0,0,4,0,0,0,9,20,9,11,3,6,15,11,4,0,79
SAL21984,110,47,69,56,80,67,58,37,16,540,727,458,482,437,565,659,647,430,212,4617
SAL21985,130,84,123,116,109,86,65,67,71,851,2175,1351,1816,1951,1658,1223,1028,771,437,12410
SAL21986,0,0,3,0,0,3,7,0,0,13,50,30,25,25,42,39,71,32,3,317
SAL21987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21988,0,4,0,0,0,0,0,0,0,4,7,4,3,4,3,9,0,0,6,36
SAL21989,0,0,0,0,0,0,0,0,0,0,7,0,6,4,7,3,4,6,0,37
SAL21990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21991,0,0,0,0,0,10,0,0,0,10,29,23,4,8,26,29,21,13,3,156
SAL21992,17,4,5,10,12,10,4,3,0,65,68,45,91,46,75,91,64,31,10,521
SAL21993,21,13,12,10,16,20,6,4,0,102,124,57,84,72,87,110,73,44,19,670
SAL21994,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8
SAL21995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21996,25,21,13,32,20,28,18,3,0,160,330,182,170,218,268,248,146,71,10,1643
SAL21997,0,0,0,0,0,0,0,0,0,0,7,0,3,4,0,0,0,0,0,14
SAL21998,68,54,79,63,65,31,16,20,10,406,1124,772,1266,1222,812,696,410,260,152,6714
SAL21999,4,4,7,0,11,9,3,3,0,41,84,79,30,52,77,68,34,12,4,440
SAL22000,83,90,86,84,79,44,39,23,6,534,1229,1131,1438,1158,1175,978,649,414,262,8434
SAL22001,65,59,95,46,54,32,19,22,10,402,1084,877,1344,1012,852,619,453,370,188,6799
SAL22002,101,56,92,96,64,54,51,40,15,569,1632,1011,1471,1435,1235,1197,981,616,271,9849
SAL22003,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,0,13
SAL22004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22005,203,106,88,145,107,142,168,91,44,1094,3547,1609,1584,2416,2292,2333,2420,1097,424,17722
SAL22006,287,163,215,186,135,86,47,13,3,1135,4630,2195,3846,3351,1965,1244,918,317,42,18508
SAL22007,13,7,15,12,0,10,8,7,0,72,261,83,320,167,56,81,139,49,3,1159
SAL22008,0,0,0,0,0,0,0,0,0,0,7,4,0,7,0,10,11,7,0,46
SAL22009,33,10,8,22,28,20,16,6,0,143,315,172,154,224,300,265,244,80,14,1768
SAL22010,0,0,4,0,0,0,0,0,0,4,12,12,18,4,19,5,10,4,0,84
SAL22011,7,3,7,5,8,18,19,3,3,73,43,26,35,39,54,84,67,36,15,399
SAL22012,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
SAL22013,0,0,0,0,4,0,0,3,0,7,17,14,8,8,18,15,13,3,0,96
SAL22014,54,19,32,25,44,50,42,31,9,306,361,174,193,181,256,374,367,257,94,2257
SAL22015,3,0,0,4,0,0,0,0,0,7,28,6,8,20,20,18,19,0,0,119
SAL22016,63,74,79,50,67,56,24,13,9,435,1402,1163,1319,1156,1270,954,621,334,106,8325
SAL22017,11,5,0,5,9,11,0,0,0,41,52,50,55,49,50,115,48,27,13,459
SAL22018,10,11,0,6,10,5,4,0,0,46,64,31,10,34,47,33,39,13,0,271
SAL22019,0,5,5,3,6,3,5,0,0,27,51,34,24,16,41,47,45,14,0,272
SAL22020,23,10,21,8,13,24,20,9,7,135,147,96,133,112,120,176,192,115,81,1172
SAL22021,0,3,0,0,0,5,0,0,0,8,26,20,25,20,29,44,29,8,0,201
SAL22022,20,5,4,8,16,3,10,3,0,69,155,63,53,87,94,103,93,46,12,706
SAL22023,0,0,0,0,0,4,0,0,0,4,5,0,0,0,7,15,10,0,0,37
SAL22024,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,4,0,15
SAL22025,0,0,0,0,0,3,0,0,0,3,7,3,9,7,0,9,3,0,0,38
SAL22026,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,3,0,0,10
SAL22027,1113,497,706,594,457,280,209,176,107,4139,13027,6385,9533,8478,5956,4330,3414,2217,787,54127
SAL22028,0,0,8,3,3,4,9,0,0,27,34,33,24,19,32,31,35,17,4,229
SAL22029,10,15,7,8,12,13,9,0,0,74,212,164,86,146,182,214,129,60,14,1207
SAL22030,0,0,0,4,0,0,0,0,0,4,25,4,3,13,0,4,9,4,0,62
SAL22031,3,0,12,3,0,9,4,0,0,31,91,45,55,46,46,93,49,13,0,438
SAL22032,13,8,3,6,10,11,13,3,0,67,164,143,78,103,177,193,134,50,14,1056
SAL22033,0,0,0,0,0,0,0,0,0,0,9,0,9,0,5,0,5,0,0,28
SAL22034,5,0,0,0,0,7,3,4,0,19,9,3,3,9,27,54,50,14,0,169
SAL22035,0,0,6,0,0,0,5,0,0,11,37,16,7,25,24,33,19,0,5,166
SAL22036,43,39,11,21,49,25,16,16,9,229,673,674,212,332,708,586,381,210,62,3838
